Link Id	Count Station Id	Hour	MATSIM volumes	Count volumes	Relative Error	Normalized Relative Error	GEH
297870_2	1194	13	14	124	-0.887	0.887	13.242
297870_2	1194	14	30	100	-0.7	0.7	8.682
297870_2	1194	15	35	124	-0.718	0.718	9.982
297870_2	1194	16	41	40	0.025	0.024	0.157
297870_2	1194	17	30	76	-0.605	0.605	6.319
297870_2	1194	18	133	132	0.008	0.008	0.087
297870_2	1194	19	170	104	0.635	0.388	5.639
297870_2	1194	20	84	64	0.312	0.238	2.325
297870_2	1194	21	36	84	-0.571	0.571	6.197
297870_2	1194	22	2	48	-0.958	0.958	9.2
297870_2	1194	23	7	44	-0.841	0.841	7.327
297870_2	1194	24	13	12	0.083	0.077	0.283
297870_2_r	revers_1194	1	0	0	0	0	�
297870_2_r	revers_1194	2	0	0	0	0	�
297870_2_r	revers_1194	3	0	0	0	0	�
297870_2_r	revers_1194	4	0	0	0	0	�
297870_2_r	revers_1194	5	0	0	0	0	�
297870_2_r	revers_1194	6	0	0	0	0	�
297870_2_r	revers_1194	7	21	0	1000	1	6.481
297870_2_r	revers_1194	8	34	8	3.25	0.765	5.674
297870_2_r	revers_1194	9	100	92	0.087	0.08	0.816
297870_2_r	revers_1194	10	54	76	-0.289	0.289	2.729
297870_2_r	revers_1194	11	16	72	-0.778	0.778	8.442
297870_2_r	revers_1194	12	36	72	-0.5	0.5	4.899
297870_2_r	revers_1194	13	56	100	-0.44	0.44	4.982
297870_2_r	revers_1194	14	58	88	-0.341	0.341	3.511
297870_2_r	revers_1194	15	74	48	0.542	0.351	3.329
297870_2_r	revers_1194	16	37	64	-0.422	0.422	3.799
297870_2_r	revers_1194	17	33	72	-0.542	0.542	5.383
297870_2_r	revers_1194	18	120	132	-0.091	0.091	1.069
297870_2_r	revers_1194	19	95	112	-0.152	0.152	1.671
297870_2_r	revers_1194	20	28	68	-0.588	0.588	5.774
297870_2_r	revers_1194	21	16	68	-0.765	0.765	8.024
297870_2_r	revers_1194	22	3	44	-0.932	0.932	8.458
297870_2_r	revers_1194	23	7	24	-0.708	0.708	4.318
297870_2_r	revers_1194	24	1	16	-0.938	0.938	5.145
297870_5	revers_1211-a	1	0	0	0	0	�
297870_5	revers_1211-a	2	0	0	0	0	�
297870_5	revers_1211-a	3	0	0	0	0	�
297870_5	revers_1211-a	4	0	0	0	0	�
297870_5	revers_1211-a	5	0	0	0	0	�
297870_5	revers_1211-a	6	0	0	0	0	�
297870_5	revers_1211-a	7	0	0	0	0	�
297870_5	revers_1211-a	8	3	100	-0.97	0.97	13.517
297870_5	revers_1211-a	9	161	240	-0.329	0.329	5.579
297870_5	revers_1211-a	10	21	132	-0.841	0.841	12.691
297870_5	revers_1211-a	11	0	100	-1	1	14.142
297870_5	revers_1211-a	12	2	92	-0.978	0.978	13.128
297870_5	revers_1211-a	13	9	100	-0.91	0.91	12.327
297870_5	revers_1211-a	14	8	108	-0.926	0.926	13.131
297870_5	revers_1211-a	15	7	148	-0.953	0.953	16.017
297870_5	revers_1211-a	16	12	124	-0.903	0.903	13.582
297870_5	revers_1211-a	17	14	120	-0.883	0.883	12.95
297870_5	revers_1211-a	18	20	196	-0.898	0.898	16.936
297870_5	revers_1211-a	19	27	220	-0.877	0.877	17.367
297870_5	revers_1211-a	20	14	156	-0.91	0.91	15.402
297870_5	revers_1211-a	21	16	176	-0.909	0.909	16.33
297870_5	revers_1211-a	22	0	84	-1	1	12.961
297870_5	revers_1211-a	23	4	28	-0.857	0.857	6
297870_5	revers_1211-a	24	4	20	-0.8	0.8	4.619
297870_5_r	1211-a	1	0	0	0	0	�
297870_5_r	1211-a	2	0	0	0	0	�
297870_5_r	1211-a	3	0	0	0	0	�
297870_5_r	1211-a	4	0	0	0	0	�
297870_5_r	1211-a	5	0	0	0	0	�
297870_5_r	1211-a	6	0	0	0	0	�
297870_5_r	1211-a	7	1	0	1000	1	1.414
297870_5_r	1211-a	8	8	0	1000	1	4
297870_5_r	1211-a	9	48	60	-0.2	0.2	1.633
297870_5_r	1211-a	10	104	68	0.529	0.346	3.882
297870_5_r	1211-a	11	4	12	-0.667	0.667	2.828
297870_5_r	1211-a	12	9	48	-0.812	0.812	7.305
297870_5_r	1211-a	13	7	24	-0.708	0.708	4.318
297870_5_r	1211-a	14	12	88	-0.864	0.864	10.748
297870_5_r	1211-a	15	18	28	-0.357	0.357	2.085
297870_5_r	1211-a	16	16	28	-0.429	0.429	2.558
297870_5_r	1211-a	17	12	52	-0.769	0.769	7.071
297870_5_r	1211-a	18	11	60	-0.817	0.817	8.224
297870_5_r	1211-a	19	11	96	-0.885	0.885	11.621
297870_5_r	1211-a	20	1	68	-0.985	0.985	11.407
297870_5_r	1211-a	21	2	16	-0.875	0.875	4.667
297870_5_r	1211-a	22	0	44	-1	1	9.381
297870_5_r	1211-a	23	0	16	-1	1	5.657
297870_5_r	1211-a	24	0	12	-1	1	4.899
297907_0	revers_1137	1	0	0	0	0	�
297907_0	revers_1137	2	0	0	0	0	�
297907_0	revers_1137	3	0	0	0	0	�
297907_0	revers_1137	4	0	0	0	0	�
297907_0	revers_1137	5	0	0	0	0	�
297907_0	revers_1137	6	0	0	0	0	�
297907_0	revers_1137	7	27	0	1000	1	7.348
297907_0	revers_1137	8	46	76	-0.395	0.395	3.841
297907_0	revers_1137	9	72	128	-0.438	0.438	5.6
297907_0	revers_1137	10	78.2	124	-0.369	0.369	4.555
297907_0	revers_1137	11	22	96	-0.771	0.771	9.634
297907_0	revers_1137	12	43	40	0.075	0.07	0.466
297907_0	revers_1137	13	67	96	-0.302	0.302	3.212
297907_0	revers_1137	14	63	108	-0.417	0.417	4.867
297907_0	revers_1137	15	82	124	-0.339	0.339	4.138
297907_0	revers_1137	16	39	96	-0.594	0.594	6.938
297907_0	revers_1137	17	33	124	-0.734	0.734	10.271
297907_0	revers_1137	18	97	148	-0.345	0.345	4.608
297907_0	revers_1137	19	55	128	-0.57	0.57	7.632
297907_0	revers_1137	20	7	92	-0.924	0.924	12.081
297907_0	revers_1137	21	5	112	-0.955	0.955	13.99
297907_0	revers_1137	22	0	72	-1	1	12
297907_0	revers_1137	23	5	48	-0.896	0.896	8.353
297907_0	revers_1137	24	0	12	-1	1	4.899
297907_0_r	1137	1	0	0	0	0	�
297907_0_r	1137	2	0	0	0	0	�
297907_0_r	1137	3	0	0	0	0	�
297907_0_r	1137	4	0	0	0	0	�
297907_0_r	1137	5	0	0	0	0	�
297907_0_r	1137	6	0	0	0	0	�
297907_0_r	1137	7	0	0	0	0	�
297907_0_r	1137	8	286	140	1.043	0.51	10.004
297907_0_r	1137	9	355.8	288	0.235	0.191	3.779
297907_0_r	1137	10	264.2	252	0.048	0.046	0.759
297907_0_r	1137	11	267	256	0.043	0.041	0.68
297907_0_r	1137	12	107	212	-0.495	0.495	8.314
297907_0_r	1137	13	149	288	-0.483	0.483	9.403
297907_0_r	1137	14	199.4	264	-0.245	0.245	4.244
297907_0_r	1137	15	244	320	-0.237	0.237	4.526
297907_0_r	1137	16	235.6	180	0.309	0.236	3.857
297907_0_r	1137	17	169	208	-0.188	0.188	2.841
297907_0_r	1137	18	351	396	-0.114	0.114	2.328
297907_0_r	1137	19	528	428	0.234	0.189	4.574
297907_0_r	1137	20	389	420	-0.074	0.074	1.541
297907_0_r	1137	21	179	340	-0.474	0.474	9.994
297907_0_r	1137	22	12	196	-0.939	0.939	18.043
297907_0_r	1137	23	60	104	-0.423	0.423	4.859
