count-ll	count-ll-pred-err	p2p-ll	total-ll	link-lambda-avg	link-lambda-stddev	link-lambda-min	link-lambda-max	plan-lambda-avg	plan-lambda-stddev	plan-lambda-min	plan-lambda-max	replan-count
-7296.94195184724	673.6632690889068	--	-7296.94195184724	8.614920898145832E-4	0.0179570214183945	-0.5246637339834198	0.6326782500467932	0.11004820430322276	0.2327646845259879	-1.5398399585511882	1.7120996243172304	6488
-7291.310733962388	633.5985610657867	--	-7291.310733962388	8.137631146713166E-4	0.018111220580433823	-0.5489499021849721	0.6739654508171276	0.10349501370504657	0.2370847458826705	-1.3119332511747879	1.6201045983336022	6451
-7332.86414086267	614.4202528674111	--	-7332.86414086267	7.720119939540954E-4	0.018533683738003015	-0.5433243000233184	0.6372241604604969	0.09837852079946595	0.24584813910459763	-1.699072924221185	1.4483840461605757	6481
-7278.330726819376	630.8050033896814	--	-7278.330726819376	7.62684263780767E-4	0.018689103780910325	-0.5670471989689813	0.6002977615747298	0.0972773908587083	0.24663132134965798	-1.3084210248280677	1.4447969223483594	6422
-7322.916408248776	681.9205147403156	--	-7322.916408248776	7.409116161707955E-4	0.01877518050936713	-0.5721547980911993	0.653744735780617	0.09445346026070116	0.2496764525172025	-1.4098485295319216	1.3954506544330338	6474
-7264.7009928117595	583.3300543337801	--	-7264.7009928117595	7.067522304144882E-4	0.018530380615567575	-0.5659451866381155	0.5926383367879553	0.09068590419799187	0.24849382495430059	-1.7010913227317488	1.3305842247761916	6515
-7294.330425331217	673.6724977341133	--	-7294.330425331217	6.792785975963505E-4	0.018395348738014985	-0.5641944885337016	0.5657112055688869	0.08723731549449257	0.2498467597788626	-1.7879552074650142	1.2748432477173166	6522
-7341.862934826133	760.1969158355066	--	-7341.862934826133	6.74374213858642E-4	0.018409727664122272	-0.5672442706198108	0.5827596895447947	0.0861803221984881	0.2501260988704883	-1.4602251714989363	1.2452450327175484	6514
-7356.118248755515	795.1807965260994	--	-7356.118248755515	6.561341739774728E-4	0.018234214052199972	-0.5408619131770949	0.5656341370316773	0.08361340423500065	0.2501007624986593	-1.862112829698749	1.2234493534878867	6482
-7270.890438445391	649.7627982660035	--	-7270.890438445391	6.247395182703429E-4	0.018003123132499785	-0.5211993356089211	0.5501644884261061	0.07980704011244862	0.24880241608071615	-1.3887576376548953	1.1908024588855457	6497
-7360.117589786793	642.4864509409429	--	-7360.117589786793	6.2719080210469E-4	0.018075313454799045	-0.5361674118483332	0.5381238053455304	0.07976491386279669	0.24944334760779754	-1.5141643919961087	1.1696099994501865	6500
-7448.985865247428	675.0244311939641	--	-7448.985865247428	5.739520183266517E-4	0.01792569351227426	-0.5409622080507783	0.5325343497329993	0.07310195847693216	0.24823637924532985	-1.8469407545923855	1.1519005273758252	6455
-7293.356761042196	658.2831616310945	--	-7293.356761042196	5.222763952880824E-4	0.017956648429782174	-0.5537190823002955	0.5296317052587253	0.0668438638285968	0.24717317847406245	-1.594815927438321	1.129508344207463	6471
-7264.837969705671	574.4670994064635	--	-7264.837969705671	5.343741254471584E-4	0.017835277578681485	-0.5660706283825481	0.5269819088847308	0.06797451856242488	0.24486450457851872	-1.3058059064173122	1.11436994761209	6483
-7383.876158063974	587.1079975364454	--	-7383.876158063974	5.30903346493251E-4	0.017993584519767923	-0.578502729148427	0.521192708228355	0.06807999465992669	0.24775569523929203	-1.8502305523328324	1.1226166658054415	6459
-7256.453225865317	545.5683237489345	--	-7256.453225865317	4.919952144203925E-4	0.018107006463353795	-0.5940973983138205	0.5215263714373284	0.06327299651610595	0.25016780195936306	-1.8120665981572859	1.1278061187798625	6500
-7321.414314862732	556.165836559704	--	-7321.414314862732	5.213641209718756E-4	0.018276123370414146	-0.592269378569996	0.5268453525436579	0.0666954060909233	0.2529597596770538	-1.3767838086155986	1.1485201020744786	6475
