Link Id	Count Station Id	Hour	MATSIM volumes	Count volumes	Relative Error	Normalized Relative Error	GEH
297907_0	revers_1137	14	54.4	108	-0.496	0.496	5.948
297907_0	revers_1137	15	73.6	124	-0.406	0.406	5.071
297907_0	revers_1137	16	26	96	-0.729	0.729	8.963
297907_0	revers_1137	17	38	124	-0.694	0.694	9.556
297907_0	revers_1137	18	123	148	-0.169	0.169	2.148
297907_0	revers_1137	19	51	128	-0.602	0.602	8.139
297907_0	revers_1137	20	13	92	-0.859	0.859	10.903
297907_0	revers_1137	21	4	112	-0.964	0.964	14.181
297907_0	revers_1137	22	1	72	-0.986	0.986	11.752
297907_0	revers_1137	23	12	48	-0.75	0.75	6.573
297907_0	revers_1137	24	0	12	-1	1	4.899
297907_0_r	1137	1	0	0	0	0	�
297907_0_r	1137	2	0	0	0	0	�
297907_0_r	1137	3	0	0	0	0	�
297907_0_r	1137	4	0	0	0	0	�
297907_0_r	1137	5	0	0	0	0	�
297907_0_r	1137	6	0	0	0	0	�
297907_0_r	1137	7	0	0	0	0	�
297907_0_r	1137	8	309	140	1.207	0.547	11.279
297907_0_r	1137	9	365.8	288	0.27	0.213	4.303
297907_0_r	1137	10	315.8	252	0.253	0.202	3.787
297907_0_r	1137	11	292.6	256	0.143	0.125	2.21
297907_0_r	1137	12	88	212	-0.585	0.585	10.125
297907_0_r	1137	13	114	288	-0.604	0.604	12.273
297907_0_r	1137	14	177	264	-0.33	0.33	5.859
297907_0_r	1137	15	230.4	320	-0.28	0.28	5.401
297907_0_r	1137	16	275	180	0.528	0.345	6.298
297907_0_r	1137	17	172.2	208	-0.172	0.172	2.597
297907_0_r	1137	18	329.6	396	-0.168	0.168	3.486
297907_0_r	1137	19	575.8	428	0.345	0.257	6.597
297907_0_r	1137	20	390	420	-0.071	0.071	1.491
297907_0_r	1137	21	166	340	-0.512	0.512	10.939
297907_0_r	1137	22	14	196	-0.929	0.929	17.761
297907_0_r	1137	23	61	104	-0.413	0.413	4.734
297907_0_r	1137	24	67	128	-0.477	0.477	6.178
297910_0	revers_1046	1	0	0	0	0	�
297910_0	revers_1046	2	0	0	0	0	�
297910_0	revers_1046	3	0	0	0	0	�
297910_0	revers_1046	4	0	0	0	0	�
297910_0	revers_1046	5	0	0	0	0	�
297910_0	revers_1046	6	0	0	0	0	�
297910_0	revers_1046	7	0	0	0	0	�
297910_0	revers_1046	8	0	152	-1	1	17.436
297910_0	revers_1046	9	20	388	-0.948	0.948	25.765
297910_0	revers_1046	10	14	272	-0.949	0.949	21.575
297910_0	revers_1046	11	0	212	-1	1	20.591
297910_0	revers_1046	12	0	220	-1	1	20.976
297910_0	revers_1046	13	0	260	-1	1	22.804
297910_0	revers_1046	14	0	472	-1	1	30.725
297910_0	revers_1046	15	0	360	-1	1	26.833
297910_0	revers_1046	16	0	272	-1	1	23.324
297910_0	revers_1046	17	3	380	-0.992	0.992	27.243
297910_0	revers_1046	18	1	348	-0.997	0.997	26.268
297910_0	revers_1046	19	2	396	-0.995	0.995	27.93
297910_0	revers_1046	20	3	316	-0.991	0.991	24.784
297910_0	revers_1046	21	56	280	-0.8	0.8	17.282
297910_0	revers_1046	22	68	224	-0.696	0.696	12.911
297910_0	revers_1046	23	44	116	-0.621	0.621	8.05
297910_0	revers_1046	24	6	92	-0.935	0.935	12.286
297910_0_r	1046	1	0	0	0	0	�
297910_0_r	1046	2	0	0	0	0	�
297910_0_r	1046	3	0	0	0	0	�
297910_0_r	1046	4	0	0	0	0	�
297910_0_r	1046	5	0	0	0	0	�
297910_0_r	1046	6	0	0	0	0	�
297910_0_r	1046	7	0	0	0	0	�
297910_0_r	1046	8	1	40	-0.975	0.975	8.614
297910_0_r	1046	9	102	128	-0.203	0.203	2.425
297910_0_r	1046	10	6	112	-0.946	0.946	13.8
297910_0_r	1046	11	11.4	84	-0.864	0.864	10.512
297910_0_r	1046	12	1	136	-0.993	0.993	16.311
297910_0_r	1046	13	5	128	-0.961	0.961	15.083
297910_0_r	1046	14	20	112	-0.821	0.821	11.324
297910_0_r	1046	15	11	136	-0.919	0.919	14.58
297910_0_r	1046	16	17	116	-0.853	0.853	12.14
297910_0_r	1046	17	10	96	-0.896	0.896	11.813
297910_0_r	1046	18	219	148	0.48	0.324	5.241
297910_0_r	1046	19	45	164	-0.726	0.726	11.641
297910_0_r	1046	20	19	116	-0.836	0.836	11.806
297910_0_r	1046	21	62	136	-0.544	0.544	7.437
297910_0_r	1046	22	69	132	-0.477	0.477	6.284
297910_0_r	1046	23	46	36	0.278	0.217	1.562
297910_0_r	1046	24	7	40	-0.825	0.825	6.807
297910_1	revers_1059-a	1	0	0	0	0	�
297910_1	revers_1059-a	2	0	0	0	0	�
297910_1	revers_1059-a	3	0	0	0	0	�
297910_1	revers_1059-a	4	0	0	0	0	�
297910_1	revers_1059-a	5	0	0	0	0	�
297910_1	revers_1059-a	6	0	0	0	0	�
297910_1	revers_1059-a	7	0	0	0	0	�
297910_1	revers_1059-a	8	0	12	-1	1	4.899
297910_1	revers_1059-a	9	19	92	-0.793	0.793	9.799
297910_1	revers_1059-a	10	15	124	-0.879	0.879	13.075
297910_1	revers_1059-a	11	0	40	-1	1	8.944
297910_1	revers_1059-a	12	0	0	0	0	�
297910_1	revers_1059-a	13	0	0	0	0	�
297910_1	revers_1059-a	14	0	4	-1	1	2.828
297910_1	revers_1059-a	15	0	16	-1	1	5.657
297910_1	revers_1059-a	16	0	36	-1	1	8.485
297910_1	revers_1059-a	17	0	12	-1	1	4.899
297910_1	revers_1059-a	18	0	116	-1	1	15.232
297910_1	revers_1059-a	19	0	108	-1	1	14.697
297910_1	revers_1059-a	20	0	84	-1	1	12.961
297910_1	revers_1059-a	21	0	40	-1	1	8.944
297910_1	revers_1059-a	22	0	60	-1	1	10.954
297910_1	revers_1059-a	23	0	32	-1	1	8
297910_1	revers_1059-a	24	0	20	-1	1	6.325
297910_1_r	1059-a	1	0	0	0	0	�
297910_1_r	1059-a	2	0	0	0	0	�
297910_1_r	1059-a	3	0	0	0	0	�
297910_1_r	1059-a	4	0	0	0	0	�
297910_1_r	1059-a	5	0	0	0	0	�
297910_1_r	1059-a	6	0	0	0	0	�
297910_1_r	1059-a	7	0	0	0	0	�
297910_1_r	1059-a	8	1	48	-0.979	0.979	9.495
297910_1_r	1059-a	9	102	104	-0.019	0.019	0.197
297910_1_r	1059-a	10	2	80	-0.975	0.975	12.182
297910_1_r	1059-a	11	11.4	60	-0.81	0.81	8.134
297910_1_r	1059-a	12	2	0	1000	1	2
297910_1_r	1059-a	13	4	12	-0.667	0.667	2.828
297910_1_r	1059-a	14	10	24	-0.583	0.583	3.395
297910_1_r	1059-a	15	4	28	-0.857	0.857	6
297910_1_r	1059-a	16	10	4	1.5	0.6	2.268
297910_1_r	1059-a	17	3	0	1000	1	2.449
297910_1_r	1059-a	18	208	100	1.08	0.519	8.703
297910_1_r	1059-a	19	31	120	-0.742	0.742	10.243
297910_1_r	1059-a	20	10	100	-0.9	0.9	12.136
297910_1_r	1059-a	21	7	96	-0.927	0.927	12.402
297910_1_r	1059-a	22	0	128	-1	1	16
297910_1_r	1059-a	23	2	56	-0.964	0.964	10.028
297910_1_r	1059-a	24	1	28	-0.964	0.964	7.091
297941_0	0085-l	1	0	0	0	0	�
297941_0	0085-l	2	0	0	0	0	�
297941_0	0085-l	3	0	0	0	0	�
297941_0	0085-l	4	0	0	0	0	�
297941_0	0085-l	5	0	0	0	0	�
297941_0	0085-l	6	0	0	0	0	�
297941_0	0085-l	7	2	0	1000	1	2
297941_0	0085-l	8	1	4	-0.75	0.75	1.897
297941_0	0085-l	9	26	16	0.625	0.385	2.182
297941_0	0085-l	10	9	4	1.25	0.556	1.961
297941_0	0085-l	11	1	0	1000	1	1.414
297941_0	0085-l	12	3	20	-0.85	0.85	5.013
297941_0	0085-l	13	2	16	-0.875	0.875	4.667
297941_0	0085-l	14	4	20	-0.8	0.8	4.619
297941_0	0085-l	15	4	4	0	0	0
297941_0	0085-l	16	2	28	-0.929	0.929	6.713
297941_0	0085-l	17	1	16	-0.938	0.938	5.145
297941_0	0085-l	18	4	16	-0.75	0.75	3.795
297941_0	0085-l	19	0	20	-1	1	6.325
297941_0	0085-l	20	0	16	-1	1	5.657
297941_0	0085-l	21	0	0	0	0	�
297941_0	0085-l	22	0	12	-1	1	4.899
297941_0	0085-l	23	1	0	1000	1	1.414
297941_0	0085-l	24	0	4	-1	1	2.828
297941_0_r	revers_0085-l	1	0	0	0	0	�
297941_0_r	revers_0085-l	2	0	0	0	0	�
297941_0_r	revers_0085-l	3	0	0	0	0	�
297941_0_r	revers_0085-l	4	0	0	0	0	�
297941_0_r	revers_0085-l	5	0	0	0	0	�
297941_0_r	revers_0085-l	6	0	0	0	0	�
297941_0_r	revers_0085-l	7	0	0	0	0	�
297941_0_r	revers_0085-l	8	0	8	-1	1	4
297941_0_r	revers_0085-l	9	0	4	-1	1	2.828
297941_0_r	revers_0085-l	10	0	8	-1	1	4
297941_0_r	revers_0085-l	11	0	20	-1	1	6.325
297941_0_r	revers_0085-l	12	0	0	0	0	�
297941_0_r	revers_0085-l	13	0	4	-1	1	2.828
297941_0_r	revers_0085-l	14	0	4	-1	1	2.828
297941_0_r	revers_0085-l	15	0	4	-1	1	2.828
297941_0_r	revers_0085-l	16	0	8	-1	1	4
297941_0_r	revers_0085-l	17	0	0	0	0	�
297941_0_r	revers_0085-l	18	0	20	-1	1	6.325
297941_0_r	revers_0085-l	19	0	16	-1	1	5.657
297941_0_r	revers_0085-l	20	0	24	-1	1	6.928
297941_0_r	revers_0085-l	21	0	4	-1	1	2.828
297941_0_r	revers_0085-l	22	0	16	-1	1	5.657
297941_0_r	revers_0085-l	23	0	4	-1	1	2.828
297941_0_r	revers_0085-l	24	0	0	0	0	�
297951_0	1180	1	0	0	0	0	�
297951_0	1180	2	0	0	0	0	�
297951_0	1180	3	0	0	0	0	�
297951_0	1180	4	0	0	0	0	�
297951_0	1180	5	0	0	0	0	�
297951_0	1180	6	0	0	0	0	�
297951_0	1180	7	0	0	0	0	�
297951_0	1180	8	0	40	-1	1	8.944
297951_0	1180	9	0	68	-1	1	11.662
297951_0	1180	10	12	64	-0.812	0.812	8.436
297951_0	1180	11	0	40	-1	1	8.944
297951_0	1180	12	0	48	-1	1	9.798
297951_0	1180	13	0	32	-1	1	8
297951_0	1180	14	0	36	-1	1	8.485
297951_0	1180	15	0	36	-1	1	8.485
