Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
29	16:42:50	16:42:50	16:42:50	16:42:50	16:42:50	16:42:50			16:42:50	16:42:50	16:42:53	16:42:53	16:42:53	16:42:53	16:42:53	16:42:53			16:42:53	16:42:53		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
30	16:42:53	16:42:53	16:42:53	16:42:53	16:42:53	16:42:53			16:42:53	16:42:53	16:42:56	16:42:56	16:42:56	16:42:56	16:42:56	16:42:56			16:42:56	16:42:56		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
31	16:42:56	16:42:56	16:42:56	16:42:56	16:42:56	16:42:56			16:42:56	16:42:56	16:42:59	16:42:59	16:42:59	16:42:59	16:42:59	16:42:59			16:43:00	16:43:00		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
32	16:43:00	16:43:00	16:43:00	16:43:00	16:43:00	16:43:00			16:43:00	16:43:00	16:43:03	16:43:03	16:43:03	16:43:03	16:43:03	16:43:03			16:43:03	16:43:03		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
33	16:43:03	16:43:03	16:43:03	16:43:03	16:43:03	16:43:03			16:43:03	16:43:03	16:43:06	16:43:06	16:43:06	16:43:06	16:43:06	16:43:06			16:43:06	16:43:06		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
34	16:43:06	16:43:06	16:43:06	16:43:06	16:43:06	16:43:06			16:43:06	16:43:06	16:43:09	16:43:09	16:43:10	16:43:10	16:43:10	16:43:10			16:43:10	16:43:10		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
35	16:43:10	16:43:10	16:43:10	16:43:10	16:43:10	16:43:10			16:43:10	16:43:10	16:43:13	16:43:13	16:43:13	16:43:13	16:43:13	16:43:13			16:43:13	16:43:13		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
36	16:43:13	16:43:13	16:43:13	16:43:13	16:43:13	16:43:13			16:43:13	16:43:13	16:43:16	16:43:16	16:43:16	16:43:16	16:43:16	16:43:16			16:43:17	16:43:17		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
37	16:43:17	16:43:17	16:43:17	16:43:17	16:43:17	16:43:17			16:43:17	16:43:17	16:43:20	16:43:20	16:43:20	16:43:20	16:43:20	16:43:20			16:43:20	16:43:20		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
38	16:43:20	16:43:20	16:43:20	16:43:20	16:43:20	16:43:20			16:43:20	16:43:20	16:43:23	16:43:23	16:43:23	16:43:23	16:43:23	16:43:23			16:43:23	16:43:23		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
39	16:43:23	16:43:23	16:43:23	16:43:23	16:43:23	16:43:23			16:43:23	16:43:23	16:43:26	16:43:26	16:43:26	16:43:26	16:43:26	16:43:26			16:43:27	16:43:27		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
40	16:43:27	16:43:27	16:43:27	16:43:27	16:43:27	16:43:27			16:43:27	16:43:27	16:43:30	16:43:30	16:43:30	16:43:30	16:43:30	16:43:30			16:43:30	16:43:30		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
41	16:43:30	16:43:30	16:43:30	16:43:30	16:43:30	16:43:30			16:43:30	16:43:30	16:43:33	16:43:33	16:43:33	16:43:33	16:43:33	16:43:33			16:43:33	16:43:33		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
42	16:43:33	16:43:33	16:43:33	16:43:33	16:43:33	16:43:33			16:43:33	16:43:33	16:43:36	16:43:36	16:43:36	16:43:36	16:43:36	16:43:36			16:43:37	16:43:37		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
43	16:43:37	16:43:37	16:43:37	16:43:37	16:43:37	16:43:37			16:43:37	16:43:37	16:43:40	16:43:40	16:43:40	16:43:40	16:43:40	16:43:40			16:43:40	16:43:40		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
44	16:43:40	16:43:40	16:43:40	16:43:40	16:43:40	16:43:40			16:43:40	16:43:40	16:43:43	16:43:43	16:43:43	16:43:43	16:43:43	16:43:43			16:43:43	16:43:43		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
45	16:43:43	16:43:43	16:43:43	16:43:43	16:43:43	16:43:43			16:43:43	16:43:43	16:43:46	16:43:46	16:43:46	16:43:46	16:43:46	16:43:46			16:43:46	16:43:46		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
46	16:43:47	16:43:47	16:43:47	16:43:47	16:43:47	16:43:47			16:43:47	16:43:47	16:43:49	16:43:49	16:43:49	16:43:49	16:43:49	16:43:49			16:43:50	16:43:50		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
47	16:43:50	16:43:50	16:43:50	16:43:50	16:43:50	16:43:50			16:43:50	16:43:50	16:43:53	16:43:53	16:43:53	16:43:53	16:43:53	16:43:53			16:43:53	16:43:53		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
48	16:43:53	16:43:53	16:43:53	16:43:53	16:43:53	16:43:53			16:43:53	16:43:53	16:43:56	16:43:56	16:43:56	16:43:56	16:43:56	16:43:56			16:43:57	16:43:57		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
49	16:43:57	16:43:57	16:43:57	16:43:57	16:43:57	16:43:57			16:43:57	16:43:57	16:43:59	16:43:59	16:43:59	16:43:59	16:43:59	16:43:59			16:44:00	16:44:00		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
