ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
36	-277.9042816091957	-1222.2441666666634	-599.3991656403929	-242.49379310344818
37	-279.19712643678093	-1198.8197126436705	-589.4340397167475	-242.30362068965448
38	-277.4372413793115	-1171.833419540223	-578.4693823207447	-240.9227586206906
39	-276.43485632183916	-1144.7846264367752	-568.3254048645329	-240.85640804597702
40	-274.1430747126438	-1117.2235344827523	-557.3553064449909	-240.300459770115
41	-270.7280172413793	-1091.7262356321799	-547.0063501642047	-238.07698275862072
42	-274.92956896551556	-1067.5142528735607	-538.1403316570869	-239.3321839080456
43	-271.07787356321774	-1040.8089080459756	-528.2717116858222	-238.8012356321832
44	-274.76735632183903	-1015.7033333333335	-519.7087420292829	-239.93554597701143
45	-269.070718390805	-993.0851149425273	-510.5193833128073	-237.56971264367806
46	-269.82456896551764	-972.7837643678135	-502.2719239874119	-237.6961206896556
47	-265.83813218390884	-950.3120689655158	-493.8026620826475	-235.77477011494275
48	-267.4826724137921	-929.5178735632156	-486.61253174603064	-236.75614942528634
49	-266.66652298850516	-909.3769827586191	-479.1513334701687	-236.3488505747122
50	-264.68675287356336	-890.2231609195378	-471.556135433772	-235.77471264367819
51	-265.37853448275825	-871.044913793101	-464.7184201559944	-235.21632183908096
52	-267.50477011494223	-854.2554885057448	-458.1613963464694	-235.51770114942516
53	-265.5348563218379	-808.9135919540217	-447.3566450807329	-233.9768390804591
54	-264.45589080459774	-788.0501149425268	-440.12326286261754	-234.90965517241347
55	-263.66339080459676	-770.3736206896516	-433.6414578544074	-234.3337643678153
56	-265.07913793103484	-753.8492528735616	-428.21400629447135	-235.16293103448174
57	-259.06235632183876	-736.7246839080458	-421.81160023262294	-232.46206896551703
58	-259.0720114942519	-720.5829022988493	-416.5463169813895	-232.92255747126345
59	-258.33272988505786	-707.8278735632174	-411.5532214012049	-232.16606321839092
60	-259.932729885058	-691.9794540229886	-406.5045135125895	-232.7645977011497
61	-257.1635632183909	-676.9847126436783	-401.26211959496493	-231.55034482758597
62	-256.3291666666672	-662.6485344827595	-396.3292418924473	-231.4447701149423
63	-256.73537356321947	-650.4502586206912	-392.1198832786002	-231.62683908045895
64	-256.14589080459746	-637.2448850574726	-387.6392062123703	-231.37433908045904
65	-253.99459770115047	-625.2618965517255	-383.1705296934862	-230.635229885057
66	-254.6170402298843	-612.5510344827595	-378.9461168924463	-231.24948275861982
67	-251.80787356321838	-600.4946551724137	-374.50074719485445	-230.07399425287247
68	-251.20413793103472	-589.2765229885072	-370.36479594280155	-229.01428160919485
69	-254.79083333333242	-577.9034482758648	-366.6616131636554	-230.4880747126426
70	-253.48534482758689	-565.7046264367832	-362.46308774630637	-229.91175287356245
71	-251.99876436781565	-555.8319252873584	-358.79252008073297	-229.28327586206817
72	-253.63181034482696	-547.5227011494267	-355.6836251710458	-230.02798850574604
73	-250.9738218390811	-537.4173563218403	-351.8727991242465	-229.24925287356243
74	-249.30094827586234	-527.3275000000006	-348.42365965380344	-228.9060344827579
75	-249.60752873563246	-517.6047701149431	-345.3061516488786	-228.9498850574706
76	-252.19902298850593	-509.349540229886	-342.58013197865296	-229.46905172413744
77	-248.95206896551724	-502.37387931034584	-339.41786087164826	-228.0877586206888
78	-250.4287068965511	-494.1535344827594	-336.60161853448244	-228.62304597701095
79	-250.27666666666593	-485.5831321839084	-333.8067918719211	-228.74431034482706
80	-249.09807471264398	-478.9683908045977	-331.1772906403935	-228.2833620689652
81	-246.8935919540241	-471.07074712643623	-328.2755837780513	-227.5177586206896
