Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
55	15:54:59	15:54:59	15:54:59	15:54:59	15:54:59	15:54:59			15:54:59	15:54:59	15:55:02	15:55:02	15:55:02	15:55:02	15:55:02	15:55:02			15:55:03	15:55:03		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
56	15:55:03	15:55:03	15:55:03	15:55:03	15:55:03	15:55:03			15:55:03	15:55:03	15:55:06	15:55:06	15:55:06	15:55:06	15:55:06	15:55:06			15:55:06	15:55:06		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
57	15:55:06	15:55:06	15:55:06	15:55:06	15:55:06	15:55:06			15:55:06	15:55:06	15:55:09	15:55:09	15:55:09	15:55:09	15:55:09	15:55:09			15:55:09	15:55:09		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
58	15:55:09	15:55:09	15:55:09	15:55:09	15:55:09	15:55:09			15:55:09	15:55:09	15:55:12	15:55:12	15:55:12	15:55:12	15:55:12	15:55:12			15:55:13	15:55:13		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
59	15:55:13	15:55:13	15:55:13	15:55:13	15:55:13	15:55:13			15:55:13	15:55:13	15:55:16	15:55:16	15:55:16	15:55:16	15:55:16	15:55:16			15:55:16	15:55:16		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
60	15:55:16	15:55:16	15:55:16	15:55:16	15:55:16	15:55:16			15:55:16	15:55:16	15:55:19	15:55:19	15:55:19	15:55:19	15:55:19	15:55:19			15:55:19	15:55:19		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
61	15:55:19	15:55:19	15:55:19	15:55:19	15:55:19	15:55:19			15:55:19	15:55:19	15:55:22	15:55:22	15:55:22	15:55:22	15:55:22	15:55:22			15:55:23	15:55:23		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
62	15:55:23	15:55:23	15:55:23	15:55:23	15:55:23	15:55:23			15:55:23	15:55:23	15:55:26	15:55:26	15:55:26	15:55:26	15:55:26	15:55:26			15:55:26	15:55:26		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
63	15:55:26	15:55:26	15:55:26	15:55:26	15:55:26	15:55:26			15:55:26	15:55:26	15:55:29	15:55:29	15:55:29	15:55:29	15:55:29	15:55:29			15:55:29	15:55:29		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
64	15:55:29	15:55:29	15:55:30	15:55:30	15:55:30	15:55:30			15:55:30	15:55:30	15:55:32	15:55:32	15:55:32	15:55:32	15:55:32	15:55:32			15:55:33	15:55:33		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
65	15:55:33	15:55:33	15:55:33	15:55:33	15:55:33	15:55:33			15:55:33	15:55:33	15:55:36	15:55:36	15:55:36	15:55:36	15:55:36	15:55:36			15:55:36	15:55:36		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
66	15:55:36	15:55:36	15:55:36	15:55:36	15:55:36	15:55:36			15:55:36	15:55:36	15:55:39	15:55:39	15:55:39	15:55:39	15:55:39	15:55:39			15:55:39	15:55:39		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
67	15:55:39	15:55:39	15:55:40	15:55:40	15:55:40	15:55:40			15:55:40	15:55:40	15:55:42	15:55:42	15:55:42	15:55:42	15:55:42	15:55:42			15:55:43	15:55:43		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
68	15:55:43	15:55:43	15:55:43	15:55:43	15:55:43	15:55:43			15:55:43	15:55:43	15:55:46	15:55:46	15:55:46	15:55:46	15:55:46	15:55:46			15:55:46	15:55:46		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
69	15:55:46	15:55:46	15:55:46	15:55:46	15:55:46	15:55:46			15:55:46	15:55:46	15:55:49	15:55:49	15:55:49	15:55:49	15:55:49	15:55:49			15:55:50	15:55:50		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
